Country Name,Country Code,Indicator Code,Indicator Name,Date,value,continent
Latin America & Caribbean,LCN,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,58.0926146685307,
Latin America & Caribbean,LCN,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,54.1728271832443,
Latin America & Caribbean,LCN,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,56.077666453375,
Latin America & Caribbean,LCN,SP.POP.TOTL,"Population, total",1960,219828794.0,
Middle East & North Africa,MEA,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,73771.1842877645,
Middle East & North Africa,MEA,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,47.1040924523543,
Middle East & North Africa,MEA,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,45.8101155459738,
Middle East & North Africa,MEA,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,46.4416437804727,
Middle East & North Africa,MEA,SP.POP.TOTL,"Population, total",1960,105203230.0,
North America,NAC,EG.USE.COMM.CL.ZS,Alternative and nuclear energy (% of total energy use),1960,2.01199319781096,
North America,NAC,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,1398674.474,
North America,NAC,EG.ELC.COAL.ZS,Electricity production from coal sources (% of total),1960,47.4961184656968,
North America,NAC,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,2939.44833510731,
North America,NAC,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,73.1929557362686,
North America,NAC,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,66.7524970440831,
North America,NAC,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,69.89360375709,
North America,NAC,SP.POP.TOTL,"Population, total",1960,198624409.0,
South Asia,SAS,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,34447.276327123,
South Asia,SAS,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,82.3453989071595,
South Asia,SAS,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.4049652574959,
South Asia,SAS,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,42.8040196041981,
South Asia,SAS,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,42.1202081554742,
South Asia,SAS,SP.POP.TOTL,"Population, total",1960,572839530.0,
Sub-Saharan Africa,SSF,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1960,25769.1553014106,
Sub-Saharan Africa,SSF,NY.GDP.PCAP.CD,GDP per capita (current US$),1960,137.161909400584,
Sub-Saharan Africa,SSF,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1960,41.8182958694092,
Sub-Saharan Africa,SSF,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1960,38.9905575059775,
Sub-Saharan Africa,SSF,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1960,40.3778967969882,
Sub-Saharan Africa,SSF,SP.POP.TOTL,"Population, total",1960,227233184.0,
Africa Eastern and Southern,AFE,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,21102.6558387003,
Africa Eastern and Southern,AFE,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,162.555967587872,
Africa Eastern and Southern,AFE,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,44.7611800269639,
Africa Eastern and Southern,AFE,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,41.6189311463009,
Africa Eastern and Southern,AFE,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,43.1669350691766,
Africa Eastern and Southern,AFE,SP.POP.TOTL,"Population, total",1961,134159786.0,
Africa Western and Central,AFW,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,7422.008,
Africa Western and Central,AFW,NY.GDP.PCAP.CD,GDP per capita (current US$),1961,113.080061889149,
Africa Western and Central,AFW,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,38.8521802991008,
Africa Western and Central,AFW,SP.DYN.LE00.MA.IN,"Life expectancy at birth, male (years)",1961,36.4698252909988,
Africa Western and Central,AFW,SP.DYN.LE00.IN,"Life expectancy at birth, total (years)",1961,37.6325458107287,
Africa Western and Central,AFW,SP.POP.TOTL,"Population, total",1961,98407221.0,
Arab World,ARB,EN.ATM.CO2E.LF.KT,CO2 emissions from liquid fuel consumption (kt),1961,52912.2243053434,
Arab World,ARB,SP.DYN.LE00.FE.IN,"Life expectancy at birth, female (years)",1961,48.2203178977256,
